sid,time_iso,time_ns,lat,lon
b'1980199N31284',1980-07-17T14:59:59.999959744,332693999999959744,23.08249855041504,-78.15250396728516
b'1980199N31284',1980-07-17T17:59:59.999959744,332704799999959744,24.439998626708984,-78.5300064086914
b'1980199N31284',1980-07-17T17:59:59.999959744,332704799999959744,23.03999900817871,-77.9000015258789
b'1980199N31284',1980-07-17T20:59:59.999959744,332715599999959744,37.915000915527344,-78.72999572753906
b'1980199N31284',1980-07-18T02:59:59.999959744,332737199999959744,36.432498931884766,-78.82999420166016
b'1980199N31284',1980-07-18T02:59:59.999959744,332737199999959744,34.05249786376953,-79.17999267578125
b'1980199N31284',1980-07-18T05:59:59.999959744,332747999999959744,32.86000061035156,-80.04999542236328
b'1980199N31284',1980-07-18T11:59:59.999959744,332769599999959744,29.290000915527344,-83.68000030517578
b'1980199N31284',1980-07-18T14:59:59.999959744,332780399999959744,25.810001373291016,-84.10250091552734
b'1980199N31284',1980-07-18T17:59:59.999959744,332791199999959744,25.549999237060547,-85.66000366210938
b'1980199N31284',1980-07-19T02:59:59.999959744,332823599999959744,27.552499771118164,-83.57250213623047
b'1980199N31284',1980-07-19T08:59:59.999959744,332845199999959744,25.979999542236328,-82.24749755859375
b'1980199N31284',1980-07-19T11:59:59.999959744,332855999999959744,26.65999984741211,-83.9800033569336
b'1980199N31284',1980-07-19T14:59:59.999959744,332866799999959744,25.590002059936523,-84.03750610351562
b'1980199N31284',1980-07-19T14:59:59.999959744,332866799999959744,25.450000762939453,-83.40750122070312
b'1980199N31284',1980-07-19T17:59:59.999959744,332877599999959744,25.64000129699707,-83.11000061035156
b'1980199N31284',1980-07-19T20:59:59.999959744,332888399999959744,27.86000061035156,-85.1449966430664
b'1980199N31284',1980-07-19T23:59:59.999959744,332899199999959744,24.759998321533203,-82.5199966430664
b'1980199N31284',1980-07-20T02:59:59.999959744,332909999999959744,23.19999885559082,-79.6925048828125
b'1980199N31284',1980-07-20T05:59:59.999959744,332920799999959744,23.670000076293945,-80.59000396728516
b'1980199N31284',1980-07-20T08:59:59.999959744,332931599999959744,25.30749893188477,-82.4175033569336
b'1980199N31284',1980-07-20T11:59:59.999959744,332942399999959744,27.96999931335449,-87.37999725341797
b'1980199N31284',1980-07-20T11:59:59.999959744,332942399999959744,28.040000915527344,-86.68000030517578
b'1980199N31284',1980-07-20T14:59:59.999959744,332953199999959744,28.5674991607666,-87.86249542236328
b'1980199N31284',1980-07-20T14:59:59.999959744,332953199999959744,28.917499542236328,-87.44249725341797
b'1980199N31284',1980-07-20T17:59:59.999959744,332963999999959744,28.229999542236328,-87.72999572753906
b'1980199N31284',1980-07-20T20:59:59.999959744,332974799999959744,27.317501068115234,-89.44999694824219
b'1980199N31284',1980-07-20T23:59:59.999959744,332985599999959744,26.38999938964844,-92.5199966430664
b'1980200N25270',1980-07-17T11:59:59.999959744,332683199999959744,25.209999084472656,-85.87000274658203
